,body_length,description,gts,listed,name_length,num_order,num_payouts,org_desc,sale_duration2,fraud_target,time_to_payout,time_till_event,is_country_same,CHECK,ACH
92,0,0.1683912543676158,264.74,1,27,1,56,0.10368451742511677,1,0,432000,20060164,0,0,1
93,3407,0.018758996061741005,705.5,0,46,64,0,0.10368451742511677,140,0,432000,212291,1,1,0
94,1061,0.11946712448380006,10.0,0,31,1,1,0.011354546734310958,43,0,432000,4560954,1,0,1
95,1314,0.08282265057283869,579.18,1,45,20,58,0.07167804424875925,55,0,432000,18258216,1,1,0
96,1483,0.03795155373919446,55.29,1,49,2,10,0.0847446244942043,9,0,432000,58948625,1,1,0
97,1860,0.11808715504178906,4462.18,1,20,110,1,0.04895433712126081,22,0,432000,31038990,1,1,0
98,2219,0.1284068192346868,1699.0,1,77,15,6,0.08833187678841815,3,0,432000,79387575,1,0,1
99,12479,0.07241225756204105,220.9,1,46,7,1,0.10053406573106269,46,0,432000,95287212,1,0,1
100,14294,0.02167605030306657,539.0,1,61,11,19,0.01462371715189815,22,0,432000,72221235,1,1,0
101,545,0.182855623407875,1946.92,1,41,39,0,0.10368451742511677,113,0,432000,1,1,0,1
102,1232,0.06749891457560031,900.0,1,63,55,14,0.058063503652028114,28,0,432000,67280120,1,1,0
103,2098,0.03456513893283955,146.89,1,28,3,16,0.10053406573106269,41,0,432000,16091990,0,0,1
104,8970,0.04756001661480448,50.46,1,68,2,36,0.05420175028247468,10,0,432000,16916533,1,0,1
105,5327,0.031503232580449965,5220.0,1,46,52,3,0.10368451742511677,49,0,432000,57991907,1,0,1
106,11284,0.019424190172886262,420.5,1,86,11,0,0.09799828655967925,38,0,432000,60477394,1,1,0
107,775,0.13345618364182898,150.0,1,48,1,0,0.056067899126531005,25,0,432000,60404280,1,1,0
108,2134,0.120164096593716,285.94,1,17,11,2,0.04895433712126081,30,0,432000,34390241,1,1,0
109,60635,0.03549964454069236,728.05,1,68,19,8,0.06843245868317457,35,0,432000,11406753,1,0,1
110,6540,0.036057006183035804,376.11,1,59,3,71,0.10053406573106269,270,0,432000,71124242,1,0,1
111,7212,0.025802288786174285,195.0,1,58,1,3,0.10368451742511677,57,0,432000,11170865,1,0,1
112,2547,0.0567360414435275,50.0,0,44,7,19,0.10368451742511677,15,0,432000,28682600,1,0,1
113,5537,0.10369074784011406,119.73,1,37,6,3,0.11486281258221821,26,0,432000,7689657,1,0,1
114,1226,0.016043556341692987,171.0,0,43,2,0,0.10368451742511677,147,0,432000,1,1,0,1
115,911,0.11363307638677274,113.58,1,62,2,0,0.10368451742511677,13,0,432000,8549267,1,0,1
116,3827,0.10916961853630958,5177.67,1,46,98,1,0.10368451742511677,16,0,432000,41468873,1,1,0
