,acct_type,num_payouts,sale_duration2,fraud_target,is_country_same,ACH
10760,premium,124,275,0,1,0
10761,tos_warn,66,11,0,1,1
10762,premium,9,43,0,0,0
10763,premium,7,49,0,1,1
10764,premium,1,97,0,1,0
10765,premium,1,19,0,1,1
10766,fraudster_event,1,5,1,0,1
10767,premium,106,22,0,1,0
10768,fraudster_event,0,3,1,0,0
10769,premium,40,24,0,1,1
10770,premium,274,68,0,1,1
10771,premium,0,163,0,1,1
10772,fraudster_event,0,4,1,1,1
10773,premium,1,33,0,1,1
10774,premium,3,2,0,0,1
10775,premium,41,64,0,1,1
10776,premium,1,268,0,1,1
10777,premium,40,95,0,1,0
10778,premium,3,3,0,1,0
10779,premium,9,71,0,1,0
10780,premium,4,51,0,0,1
10781,premium,0,46,0,1,1
10782,premium,95,203,0,1,1
10783,premium,3,45,0,1,0
10784,premium,96,114,0,1,0
10785,premium,8,46,0,0,1
10786,premium,23,199,0,1,1
10787,fraudster_event,0,6,1,1,1
10788,premium,24,10,0,1,1
10789,premium,63,109,0,1,1
10790,premium,1,47,0,0,1
10791,premium,6,127,0,1,0
10792,premium,1,32,0,1,1
10793,premium,0,100,0,0,1
10794,premium,51,55,0,1,0
10795,premium,78,68,0,1,0
10796,premium,54,64,0,1,0
10797,premium,1,72,0,1,1
10798,premium,15,231,0,0,1
10799,premium,221,29,0,1,1
10800,premium,0,22,0,0,1
10801,spammer_limited,4,126,0,1,1
10802,premium,0,167,0,1,0
10803,premium,0,23,0,0,1
10804,premium,0,9,0,1,1
10805,premium,3,35,0,1,1
10806,premium,10,67,0,1,1
10807,premium,9,47,0,1,1
10808,premium,53,132,0,1,1
10809,premium,0,7,0,1,1
10810,fraudster_event,0,3,1,0,0
10811,premium,4,43,0,0,1
10812,premium,7,28,0,1,1
10813,premium,381,12,0,1,0
10814,premium,6,107,0,1,1
10815,premium,2,74,0,0,1
10816,premium,5,49,0,0,1
10817,premium,26,49,0,1,1
10818,premium,23,8,0,1,1
10819,premium,0,36,0,0,1
10820,premium,14,70,0,1,0
10821,premium,57,119,0,1,1
10822,premium,0,6,0,0,0
10823,premium,3,74,0,1,1
10824,premium,2,14,0,0,0
10825,premium,0,78,0,1,0
10826,locked,2,143,0,1,1
10827,premium,0,43,0,0,1
10828,premium,0,44,0,1,1
10829,premium,0,32,0,1,0
10830,premium,0,35,0,1,1
10831,premium,43,49,0,1,1
10832,premium,1,34,0,1,1
10833,premium,8,97,0,1,1
10834,tos_lock,0,14,0,1,0
10835,premium,0,49,0,1,0
10836,premium,281,30,0,1,1
10837,premium,5,45,0,1,1
10838,premium,791,36,0,1,1
10839,premium,8,7,0,1,1
10840,premium,914,40,0,1,1
10841,premium,7,17,0,1,1
10842,premium,19,115,0,1,0
10843,premium,36,175,0,1,1
