,acct_type,body_length,gts,listed,name_length,num_order,num_payouts,sale_duration2,fraud_target,time_to_payout,time_till_event,is_country_same,CHECK,ACH
3449,premium,84,376.18,0,27,3,3,39,0,432000,False,1,0,1
3450,fraudster_event,0,0.0,1,0,0,0,40,1,432000,False,0,0,0
3451,premium,1516,3237.63,1,34,41,2,20,0,432000,False,1,0,1
3452,premium,3462,900.0,1,57,6,32,47,0,432000,False,1,1,0
3453,premium,385,885.0,0,25,71,0,19,0,432000,False,1,0,1
3454,premium,0,201.74,1,40,6,19,19,0,432000,False,1,0,1
3455,premium,829,7.68,1,37,1,3,31,0,432000,False,1,0,1
3456,premium,4918,1442.31,1,22,19,0,23,0,432000,False,1,0,1
3457,premium,5796,2735.03,1,54,31,0,36,0,432000,False,1,0,1
3458,premium,479,22.09,1,21,1,0,39,0,432000,False,1,1,0
3459,premium,155,3869.69,1,33,42,2,66,0,432000,False,1,0,1
3460,premium,20579,22117.1,1,45,134,0,72,0,432000,False,1,0,1
3461,fraudster_event,2600,2560.73,0,27,15,0,1,1,432000,False,0,0,1
3462,fraudster_event,2143,4982.26,0,26,24,0,1,1,432000,False,0,0,1
3463,premium,7042,658.44,0,52,7,0,26,0,432000,False,1,0,1
3464,premium,6990,1497.3,1,40,50,1,27,0,432000,False,1,0,1
3465,premium,510,250.0,1,13,1,0,84,0,432000,False,0,1,0
3466,premium,771,3375.0,1,38,15,27,59,0,432000,False,1,0,1
3467,premium,10374,100.0,1,22,1,0,9,0,432000,False,1,0,1
3468,spammer_limited,8141,50.0,1,38,2,6,27,0,432000,False,1,1,0
3469,premium,4569,343.0,1,43,7,2,37,0,432000,False,0,1,0
3470,premium,0,53.74,0,19,1,0,20,0,432000,False,1,0,1
3471,fraudster_event,0,0.0,1,0,0,0,40,1,432000,False,0,0,0
3472,premium,4103,105.0,1,44,5,0,19,0,432000,False,1,0,1
3473,premium,229,152.16,1,21,1,193,0,0,432000,False,1,0,1
3474,premium,1682,44.44,1,41,1,0,14,0,432000,False,1,0,1
3475,premium,3858,99.0,1,75,1,3,20,0,432000,False,1,0,1
3476,premium,571,507.53,1,25,14,0,19,0,432000,False,1,0,1
3477,premium,15472,2706.39,1,28,77,0,37,0,432000,False,0,0,1
3478,premium,802,400.0,0,55,11,18,49,0,432000,False,1,1,0
3479,premium,4462,2149.5,1,14,32,0,24,0,432000,False,1,0,1
3480,premium,9099,25.83,1,60,3,282,78,0,432000,False,1,0,1
3481,premium,120,1260.0,0,22,23,0,17,0,432000,True,1,0,1
3482,premium,1801,80.12,0,14,1,0,39,0,432000,True,1,0,1
3483,premium,3006,886.49,1,72,8,2,42,0,432000,False,1,0,1
3484,premium,1738,2873.34,0,42,43,0,37,0,432000,False,1,0,1
3485,premium,17133,688.62,1,20,40,13,0,0,432000,False,1,0,1
3486,premium,14275,287.82,1,73,3,2,41,0,432000,False,1,0,1
3487,premium,60,1039.95,0,55,1,1,0,0,432000,False,0,0,1
3488,premium,0,25.0,1,12,1,0,1,0,432000,False,0,0,1
3489,premium,1926,161.56,1,29,5,0,18,0,432000,False,1,0,1
3490,premium,1662,368.95,1,42,5,136,22,0,432000,False,1,0,1
3491,fraudster_event,0,11584.81,1,10,61,0,1,1,432000,False,1,0,1
3492,tos_lock,627,300.0,1,31,2,9,1,0,432000,False,0,0,1
3493,fraudster_event,0,0.0,1,10,0,0,0,1,432000,True,1,0,0
3494,fraudster_event,317,69.24,1,37,2,0,40,1,432000,False,0,0,0
3495,premium,329,46.98,1,15,1,9,18,0,432000,False,1,0,1
